tunnus;omvorm;aadress
85701:001:0214;;Valga vald, Laanemetsa küla, 23210 Laanemetsa-Koobassaare tee
28902:004:0038;Eraomand;Valga vald, Koobassaare küla, Mäeotsa
28902:004:0039;Eraomand;Valga vald, Koobassaare küla, Mäepõllu
28902:004:0061;Eraomand;Valga vald, Koobassaare küla, Apja
28902:004:0062;Eraomand;Valga vald, Koobassaare küla, Apja
28902:004:0101;Eraomand;Valga vald, Koobassaare küla, Keeni
28902:004:0102;Eraomand;Valga vald, Koobassaare küla, Keeni
28902:004:0112;Eraomand;Valga vald, Koobassaare küla, Mäeotsa
28902:004:0120;Eraomand;Valga vald, Koobassaare küla, Liivatalu
28902:004:0270;Eraomand;Valga vald, Koobassaare küla, Uue-Apja
28902:004:0391;Eraomand;Valga vald, Koobassaare küla, Perakonna
28902:004:0392;Eraomand;Valga vald, Koobassaare küla, Perakonna
28902:004:0432;Eraomand;Valga vald, Koobassaare küla, Karula-Ahero
28902:004:0501;Eraomand;Valga vald, Koobassaare küla, Mägimänni
28902:004:0502;Eraomand;Valga vald, Koobassaare küla, Mägimänni
28902:004:0503;Eraomand;Valga vald, Koobassaare küla, Mägimänni
28902:004:0510;Eraomand;Valga vald, Koobassaare küla, Kõrtsi
28902:004:0530;Eraomand;Valga vald, Koobassaare küla, Ellamäe
77901:001:0048;Eraomand;Valga vald, Laanemetsa küla, Liini
77901:001:0053;Eraomand;Valga vald, Sooblase küla, Kubjapõllu
77901:001:0057;Eraomand;Valga vald, Tsirgumäe küla, Ehaste
77901:001:0058;Eraomand;Valga vald, Sooblase küla, Kasemäe
77901:001:0074;Eraomand;Valga vald, Kalliküla, Haosilla
77901:001:0075;Eraomand;Valga vald, Kalliküla, Vahimetsa
77901:001:0078;Eraomand;Valga vald, Laanemetsa küla, Kõrre
77901:001:0146;Eraomand;Valga vald, Hargla küla, Kadari
77901:001:0149;Eraomand;Valga vald, Laanemetsa küla, Londoni
77901:001:0150;Eraomand;Valga vald, Laanemetsa küla, Londoni põld
77901:001:0165;Eraomand;Valga vald, Laanemetsa küla, Koemetsa
